timestamps,TP9,AF7,AF8,TP10,Right AUX
1673934842.455,-1000.000,-1000.000,-126.465,-1000.000,0.000
1673934842.459,-1000.000,-1000.000,-828.125,-1000.000,0.000
1673934842.463,-1000.000,-1000.000,-82.520,-1000.000,0.000
1673934842.467,-934.570,-937.988,-1000.000,-937.988,0.000
1673934842.470,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934842.474,-274.414,-221.191,-203.125,-221.191,0.000
1673934842.478,-981.934,-963.379,-963.867,-963.379,0.000
1673934842.482,957.031,949.219,948.242,949.219,0.000
1673934842.485,933.105,938.477,938.965,937.988,0.000
1673934842.489,972.656,972.168,972.168,972.168,0.000
1673934842.493,964.355,965.332,965.332,965.332,0.000
1673934842.496,964.844,965.332,969.238,965.820,0.000
1673934842.502,964.844,965.332,949.707,965.332,0.000
1673934842.506,964.844,965.332,997.559,965.332,0.000
1673934842.509,975.586,976.074,900.879,976.074,0.000
1673934842.513,921.875,924.316,680.664,923.828,0.000
1673934842.517,986.816,983.398,-946.777,983.398,0.000
1673934842.521,926.270,939.453,570.801,939.453,0.000
1673934842.524,-422.852,-403.320,-765.625,-403.809,0.000
1673934842.528,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934842.532,-933.594,-933.594,-516.113,-933.594,0.000
1673934842.536,-1000.000,-1000.000,-996.582,-1000.000,0.000
1673934842.539,-1000.000,-1000.000,312.988,-1000.000,0.000
1673934842.543,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934842.548,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934842.552,-1000.000,-1000.000,-668.945,-1000.000,0.000
1673934842.556,-1000.000,-1000.000,912.598,-1000.000,0.000
1673934842.560,-1000.000,-1000.000,389.648,-1000.000,0.000
1673934842.563,-935.059,-935.059,-996.582,-934.570,0.000
1673934842.567,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934842.571,-737.305,-737.305,-373.535,-731.445,0.000
1673934842.575,704.102,705.078,945.312,710.938,0.000
1673934842.578,-952.637,-951.660,982.910,-952.637,0.000
1673934842.582,900.391,901.367,922.852,901.855,0.000
1673934842.586,979.492,980.469,978.027,980.469,0.000
1673934842.589,964.844,965.332,960.938,965.332,0.000
1673934842.595,964.844,965.820,972.656,965.332,0.000
1673934842.598,977.539,979.004,959.473,979.004,0.000
1673934842.602,890.137,890.625,808.105,890.625,0.000
1673934842.606,-904.297,-904.785,-853.516,-904.785,0.000
1673934842.610,458.984,475.098,104.492,475.098,0.000
1673934842.613,-955.566,-947.754,-474.609,-947.754,0.000
1673934842.617,-1000.000,-1000.000,928.223,-1000.000,0.000
1673934842.621,-951.172,-949.707,-249.023,-949.707,0.000
1673934842.625,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934842.628,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934842.632,-1000.000,-1000.000,-156.738,-1000.000,0.000
1673934842.636,-1000.000,-1000.000,-877.441,-1000.000,0.000
1673934842.642,-1000.000,-1000.000,-203.125,-1000.000,0.000
1673934842.646,-1000.000,-1000.000,-1000.000,-1000.000,0.000
